TreeID,qSpecies,qAddress,qSiteInfo,DBH,PlotSize,Latitude,Longitude
28359,Metrosideros excelsa :: New Zealand Xmas Tree,5976 Mission St,Sidewalk: Curb side : Cutout,18,3X3,37.7082721,-122.4546396
15974,Tristaniopsis laurina :: Swamp Myrtle,5933 Mission St,Sidewalk: Curb side : Cutout,3,3X3,37.7084255,-122.4535174
106057,Pinus radiata :: Monterey Pine,140X CANYON DR,Median : Yard,18,,37.70842942,-122.4323581
87695,Magnolia grandiflora :: Southern Magnolia,2630 Bay Shore Blvd,Sidewalk: Curb side : Cutout,3,,37.70853068,-122.4054527
177641,Metrosideros excelsa :: New Zealand Xmas Tree,5900 Mission St,Sidewalk: Curb side : Cutout,0,Width 4ft,37.7086587,-122.4533697
106061,Pinus radiata :: Monterey Pine,12X Canyon Dr,Median : Yard,40,,37.70885092,-122.4304884
29249,Magnolia grandiflora :: Southern Magnolia,2600 Bay Shore Blvd,Sidewalk: Curb side : Cutout,3,3x3,37.70887644,-122.405248
15962,Eriobotrya deflexa 'Coppertone' :: Coppertone Loquat,5889 Mission St,Sidewalk: Curb side : Cutout,3,3X3,37.70895639,-122.451975
25775,Arbutus 'Marina' :: Hybrid Strawberry Tree,1965 Geneva Ave,Sidewalk: Curb side : Cutout,16,2X3,37.70895961,-122.4219256
15961,Olea europaea :: Olive Tree,5873 Mission St,Sidewalk: Curb side : Cutout,3,3X3,37.70899941,-122.4518477
15960,Metrosideros excelsa :: New Zealand Xmas Tree,5870 Mission St,Sidewalk: Curb side : Cutout,12,4X4,37.70905403,-122.4522232
15957,Metrosideros excelsa :: New Zealand Xmas Tree,5858 Mission St,Sidewalk: Curb side : Cutout,12,4X4,37.70907525,-122.4521552
15956,Metrosideros excelsa :: New Zealand Xmas Tree,5853 Mission St,Sidewalk: Curb side : Cutout,6,3X3,37.709076,-122.4516156
24263,Prunus laurocerasus :: English laurel,300X Winding Way,Median : Cutout,30,8,37.70922959,-122.4363132
15950,Tristaniopsis laurina :: Swamp Myrtle,5823 MISSION ST,Sidewalk: Curb side : Cutout,3,3X3,37.70934266,-122.4509113
15948,Metrosideros excelsa :: New Zealand Xmas Tree,5813 Mission St,Sidewalk: Curb side : Cutout,12,4X4,37.70934879,-122.4507974
117179,Sequoia sempervirens :: Coast Redwood,350x Winding Way,Median : Cutout,30,3x3,37.70941815,-122.437727
24287,Private shrub :: Private Shrub,340 Winding Way,Sidewalk: Curb side : Cutout,3,3X10,37.7094276,-122.4373385
1873,Lophostemon confertus :: Brisbane Box,2566 Bay Shore Blvd,Sidewalk: Curb side : Cutout,3,3X3,37.7095769,-122.4049799
15928,Metrosideros excelsa :: New Zealand Xmas Tree,5750 Mission St,Sidewalk: Curb side : Cutout,6,3X3,37.70971035,-122.4503006
24290,Phoenix canariensis :: Canary Island Date Palm,386 Winding Way,Sidewalk: Curb side : Cutout,12,3X17,37.70972807,-122.4384421
15929,Olea europaea :: Olive Tree,5763 Mission St,Sidewalk: Curb side : Cutout,6,3X3,37.7098119,-122.4494376
15925,Tristaniopsis laurina :: Swamp Myrtle,5732 Mission St,Sidewalk: Curb side : Cutout,3,3x3,37.70982403,-122.449948
4377,Juglans hindsii :: Walnut: Black (n.calif),4057X Alemany Blvd,Sidewalk: Curb side : Cutout,3,3X3,37.70982979,-122.4703767
26173,Arbutus 'Marina' :: Hybrid Strawberry Tree,1815 Geneva Ave,Sidewalk: Curb side : Cutout,16,2X3,37.70988186,-122.4241206
1857,Washingtonia robusta :: Mexican Fan Palm,2500 Bay Shore Blvd,Median : Cutout,12,6,37.70990048,-122.404602
1324,Fraxinus uhdei :: Shamel Ash: Evergreen Ash,4051X Alemany Blvd,Sidewalk: Curb side : Cutout,50,3x3,37.70993099,-122.4702526
1313,Ulmus americana :: American Elm,4055 Alemany Blvd,Sidewalk: Curb side : Cutout,22,4X6,37.70994561,-122.4702321
15919,Tristaniopsis laurina :: Swamp Myrtle,5700 Mission St,Sidewalk: Curb side : Cutout,3,3x3,37.71000137,-122.4493661
98853,Lophostemon confertus :: Brisbane Box,4043X Alemany Blvd,Median : Cutout,,,37.71002968,-122.4700091
19105,Ulmus pumila :: Siberian Elm,3155X Alemany Blvd,Sidewalk: Curb side : Cutout,32,3x3,37.71003226,-122.4570199
121420,Leptospermum laevigatum :: Australian Tea Tree,1155x Prague St,Median : Cutout,,3x3,37.71005441,-122.439084
1211,Pittosporum crassifolium :: Karo Tree,3151 Alemany Blvd,Sidewalk: Curb side : Cutout,21,3x3,37.71008508,-122.456206
1209,Ulmus americana :: American Elm,3147 Alemany Blvd,Sidewalk: Curb side : Cutout,23,3x3,37.71010403,-122.4560268
1207,Ulmus americana :: American Elm,3141 Alemany Blvd,Sidewalk: Curb side : Cutout,15,3x3,37.71017082,-122.4556646
1315,Lophostemon confertus :: Brisbane Box,4050X Alemany Blvd,Sidewalk: Curb side : Cutout,6,TR,37.71025532,-122.4703453
1305,Lophostemon confertus :: Brisbane Box,4001 Alemany Blvd,Sidewalk: Curb side : Cutout,12,3X6,37.71025758,-122.4697288
15910,Tristaniopsis laurina :: Swamp Myrtle,5694X Mission St,Sidewalk: Curb side : Cutout,6,3x3,37.71029633,-122.4487086
1199,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',3099X Alemany Blvd,Sidewalk: Curb side : Cutout,6,3x3,37.7104093,-122.4548578
108685,Eucalyptus Spp :: Eucalyptus,301X CHESTER AVE,Sidewalk: Property side : Cutout,18,,37.71042984,-122.4704206
1854,Eucalyptus Spp :: Eucalyptus,2500 Bay Shore Blvd,Median : Cutout,12,6,37.7104553,-122.4043188
1293,Eucalyptus sideroxylon :: Red Ironbark,4000X Alemany Blvd,Median : Cutout,50,10,37.71048402,-122.4695857
15901,Olea europaea :: Olive Tree,5600 Mission St,Median : Cutout,6,20,37.7104962,-122.4478907
251655,Shrub :: Shrub,300x Chester Ave,Sidewalk: Property side : Yard,,3x3,37.71055721,-122.4705242
94594,Tristaniopsis laurina :: Swamp Myrtle,2446 Bay Shore Blvd,Sidewalk: Curb side : Cutout,6,3x3,37.7106913,-122.4042318
94593,Tristaniopsis laurina :: Swamp Myrtle,2442 Bay Shore Blvd,Sidewalk: Curb side : Cutout,6,3x3,37.71073641,-122.404204
1192,Ulmus americana :: American Elm,3047 Alemany Blvd,Sidewalk: Curb side : Cutout,20,1X2,37.71074118,-122.4537536
15894,Tristaniopsis laurina :: Swamp Myrtle,5635 Mission St,Sidewalk: Curb side : Cutout,4,3x3,37.71079484,-122.4473897
1847,Magnolia grandiflora :: Southern Magnolia,2401 Bay Shore Blvd,Sidewalk: Curb side : Cutout,6,3X3,37.71085052,-122.4037016
1196,Corymbia ficifolia :: Red Flowering Gum,3080 Alemany Blvd,Sidewalk: Curb side : Cutout,28,3X3,37.71086402,-122.4541185
105996,Lophostemon confertus :: Brisbane Box,3990A ALEMANY BLVD,Sidewalk: Curb side : Cutout,3,3x3,37.71087631,-122.4690358
94592,Lophostemon confertus :: Brisbane Box,2428 Bay Shore Blvd,Sidewalk: Curb side : Cutout,3,3x3,37.71090692,-122.4040733
181256,Washingtonia robusta :: Mexican Fan Palm,2400x Bay Shore Blvd,Median : Cutout,15,Width 6ft,37.71102687,-122.4037779
15888,Shrub :: Shrub,5625 Mission St,Sidewalk: Curb side : Cutout,3,3X3,37.71104857,-122.446781
1187,Tristaniopsis laurina :: Swamp Myrtle,3022 Alemany Blvd,Sidewalk: Curb side : Cutout,20,3X3,37.71106309,-122.4536965
1213,Leptospermum laevigatum :: Australian Tea Tree,3411 Alemany Blvd,Sidewalk: Curb side : Cutout,25,3X3,37.71108745,-122.4629104
1844,Lophostemon confertus :: Brisbane Box,2400 Bay Shore Blvd,Sidewalk: Curb side : Cutout,3,3x3,37.71110164,-122.4039259
1288,Brugmansia spp :: Angel trumpet,3958 Alemany Blvd,Sidewalk: Curb side : Cutout,3,3X3,37.71113398,-122.4682838
1181,Ulmus pumila :: Siberian Elm,3003 Alemany Blvd,Sidewalk: Curb side : Cutout,45,3x3,37.71114212,-122.4530916
25779,Arbutus 'Marina' :: Hybrid Strawberry Tree,1711 Geneva Ave,Sidewalk: Curb side : Cutout,18,2X3,37.7111607,-122.426399
25778,Arbutus 'Marina' :: Hybrid Strawberry Tree,1707 Geneva Ave,Sidewalk: Curb side : Cutout,18,2X3,37.71118613,-122.4264865
1214,Acer buergeranum :: Trident Maple,3435 Alemany Blvd,Sidewalk: Curb side : Cutout,3,3X3,37.71119014,-122.4632308
1183,Metrosideros excelsa :: New Zealand Xmas Tree,3008 Alemany Blvd,Sidewalk: Curb side : Cutout,25,3X3,37.71120721,-122.4534108
1180,Metrosideros excelsa :: New Zealand Xmas Tree,3000 Alemany Blvd,Sidewalk: Curb side : Cutout,25,3X3,37.71123416,-122.4533492
122854,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',3000X Alemany Blvd,Median : Cutout,3,3x3,37.71125721,-122.4534027
